en-unannotated-00001	Unsure.
en-unannotated-00122	The Dry-Aged Hamburger (159 czk / $8.19) took about 15 minutes to be ready, but it was worth the wait.
en-unannotated-00123	No thanks.
en-unannotated-00124	I ordered a chicken and bacon boxty, and my boyfriend went with the traditional Irish boxty which had beef and mushrooms.
en-unannotated-00125	This place is known for its duck so that's exactly what we got.
en-unannotated-00126	One of the best meals we had while we were in France, beautiful little spot.
en-unannotated-00127	You design it for me and make it as per the menu.
en-unannotated-00128	There are several restaurants and eateries right next door and around the corners.
en-unannotated-00129	For my antipasti, I had a salad with mussels and oranges, and it was such a light refreshing start to the meal.
en-unannotated-00130	We had chicken roast with vegetables and beef with green beans.
en-unannotated-00131	The trio was shared between two men and there was enough left to share each preparation of the lamb and out vegetables with others.
en-unannotated-00132	He takes pride in the presentation of the food and the combination of tastes just explode on your taste buds.
en-unannotated-00133	And y'all know what a complete foodie I am.
en-unannotated-00134	Owner is helpful, kind, friendly, shop is beautifully designed and decorated.
en-unannotated-00135	That beefy smell is so sinfully seductive it makes you want to bathe in it.
en-unannotated-00136	Good place for a special dinner.
en-unannotated-00137	See the photos for names/ look of the dishes.
en-unannotated-00138	It was not so simple, the restaurant was fully booked.
en-unannotated-00139	Breakfast was exactly the same everyday, no variety and not enough hot food.
en-unannotated-00140	A real gem.
en-unannotated-00141	I will come back again as it is in the business district for meetings.
en-unannotated-00142	We first arrived in Prague late Sunday afternoon in September.
en-unannotated-00143	Eventually, we had to ask another waiter (a younger man) regarding the timing of our food- at this point, my friends and I had already waited for over an hour.
en-unannotated-00144	We were staying at the Vincci Centrum but disappointed by the general service we decided to venture out on the street for breakfast.
en-unannotated-00145	If you craving Mexican food and want to try gourmet food you have to go this restaurant.
en-unannotated-00146	Easy to use.
en-unannotated-00147	We had picklade spicy brie and cabbagepancakes.
en-unannotated-00148	It was super rare and very bland.
en-unannotated-00149	It tasted like any other lager which is crisp, clean and refreshing with no bite and no character.
en-unannotated-00150	The hotel is wonderfully old and elegant.
en-unannotated-00151	Beautiful spot, great beer, delicious food (had the seafood linguine). Classy little place to go, didn't disappoint.
en-unannotated-00152	Highly recommend this location and the Lokal Inn near the Charles Bridge on the castle side.
en-unannotated-00153	Highly recommend this place.
en-unannotated-00154	So remember!
en-unannotated-00155	This place is very easy to reach.
en-unannotated-00156	I wanted to keep my appetite for the food so I only took a bite or two.
en-unannotated-00157	The staff speaks English too.
en-unannotated-00158	First off, it was small, off the beaten path, they spoke Italian, and lastly the secret to finding really good gelato was to find that the gelato...
en-unannotated-00159	My friend and I both opted for onion soup which was truly lovely - not salty, and full of wonderfully caramelized onions.
en-unannotated-00160	Astor is located down a quiet street that forks off of the very busy Calle Cava Baja.
en-unannotated-00161	(Featured at the begining of Spectre Bond Film) Very good staff who are friendly and efficient.
en-unannotated-00162	And found out that everything is correct and even better!!
en-unannotated-00163	Sometimes the staff were a bit slow, for example it took over an hour for a drinks menu to be brought to our room so we ended up going down to get it.
en-unannotated-00164	nice
en-unannotated-00165	I loved how Burnett lane is this somewhat hidden side street off the main Queen st mall area with a handful of cool bars and restaurants.
en-unannotated-00166	I would recommend this place to anyone!
en-unannotated-00167	If burgers aren't your thing and you have had the misfortune of somehow ending up here, you can get a Sirloin Steak or some fish and chips or salad.
en-unannotated-00168	I do recommend purchasing the full game.
en-unannotated-00169	Rooms view to the ugly walls beside the hotel or not soundproofed windows in the front rooms.
en-unannotated-00170	We ordered the expensive homard (lobster) dish for lunch, and it was clearly not fresh.
en-unannotated-00171	I enjoyed a delicious lunch at this charming restaurant which is located not far from the Pinacoteca di Brera.
en-unannotated-00172	I tried to order the cannolo but they were out.
en-unannotated-00173	Updates frequently break the app.
en-unannotated-00174	Without hesitation, they moved us to another room at the rear of the hotel, and even have new windows on order for the front rooms we were in.
en-unannotated-00175	Location.
en-unannotated-00176	We try and see who can have the highest score.
en-unannotated-00177	I always walk down through the parking lot on Elizabeth street side, but I'm pretty sure you're not really supposed to...
en-unannotated-00178	Waiters are happy to help with menu.
en-unannotated-00179	Friendly staff.
en-unannotated-00180	Shared 3 small plates: orzo, risotto and feta/sweet potato.
en-unannotated-00181	However, we didn't mind waiting too much, and our waitress was again, very sweet.
en-unannotated-00182	We found it on an American blog on our search for Prague's best duck leg, and the place was full of Americans the night we were there.
en-unannotated-00183	We came right at open (11 am) for lunch as we had just arrived and our hotel room wasn't quite ready yet.
en-unannotated-00184	Deserts were delicious as well and the chocolate cake was the standout!
en-unannotated-00185	Ditto to past comments.
en-unannotated-00186	We booked 2 nights at the NH Collection in San Sebastián after 3 wonderful nights at their Madrid hotel.
en-unannotated-00187	But I think its a little bit expensive though.
en-unannotated-00188	Exceptionally courteous, professional and helpful staff who genuinely made us feel very welcome and at home.
en-unannotated-00189	From the amazing recommendations to the free lemoncello and cookies - I'd highly recommend going back here!
en-unannotated-00190	I left about 1/3 of it on the plate because I couldn't eat any more of the cream.
en-unannotated-00191	Ordered the potato wedges as a side (small size, but lots of them!)
en-unannotated-00192	It is a twin bed room with beds pushed together.
en-unannotated-00193	we got [name].
en-unannotated-00194	The decoration and the music is very good!
en-unannotated-00195	So clean and bright.
en-unannotated-00196	Staff were friendly and helpful.
en-unannotated-00197	The risotto of prawn was excellent - spicer than we expected for the area.
en-unannotated-00198	If you want a good meat - come here.
en-unannotated-00199	It's bigger than expected, lots of long tables and fairly crowded.
en-unannotated-00200	The main star though was the gnocchi alla Oscar.
en-unannotated-00201	Both the shrimp and squid dishes were good, very simple and packed with flavor.
en-unannotated-00202	Terrible service
en-unannotated-00203	We got the house cocktail with forest fruit and cucumber flavour infused rums and they were fantastic.
en-unannotated-00204	The plug in the basin did not fit properly and leaked.
en-unannotated-00205	Hotel is in premium location really fantastic to tour the city from the hotel by foot
en-unannotated-00206	it is great....
en-unannotated-00207	Technogym apparels in the gym that open at 7am (6am would have been even better).
en-unannotated-00208	Overall a good experience.
en-unannotated-00209	The ambiance is super cozy too!
en-unannotated-00210	Listed as one of the top restaurants in Paris, the place can get crowded, on top of being tiny.
en-unannotated-00211	It came with sweet potato, onion rings, string beans in tomato sauce on the side.
en-unannotated-00212	Cozy.
en-unannotated-00213	It's a place where hundreds of unrecognised and new musicians can send their music for people to stream from all over.
en-unannotated-00214	Nicely situated close to both Atocha station and the museums, this hotel has everything a tourist could need: clean, comfortable rooms with A/C, a great breakfast.
en-unannotated-00215	It's cool that you can create your own and they were fast delivering.
en-unannotated-00216	Waiter/waitresses finish it up by cleaning the edges of every plate going, so it's pretty cool to watch.
en-unannotated-00217	Sisters Isabel and Pilar are a perfect chef / hostess team and their charm makes a visit to their restaurant a must.
en-unannotated-00218	I would recommend it.
en-unannotated-00219	As you walk into the restaurant you immediately feel like you've stepped into a business that knows what it's doing.
en-unannotated-00220	Really enjoyed it!
en-unannotated-00221	the whole place was so beautiful and clean, great view and everything here is so perfect
en-unannotated-00222	The potatoes came with a good amount of smoked salmon and were mixed with the cream sauce.
en-unannotated-00223	On duty staff seemed overwhelmed.
en-unannotated-00224	Vegies and salad?
en-unannotated-00225	The place is decked out really well.
en-unannotated-00226	There was live music and people were singing - so much fun!
en-unannotated-00227	If you can make a reservation, I strongly recommend it.
en-unannotated-00228	It always gets jammers though on weekends, and I definitely prefered the vibe when I came in on a tuesday evening.
en-unannotated-00229	Very well located- Walking distance from all the major touristic attractions in Rome, well connected with public transportation to all the city.
en-unannotated-00230	I would highly recommend this place for any occasion.
en-unannotated-00231	This provided a surprising amount of food and was perfect for lunch.
en-unannotated-00232	The ambiance is still wonderful, the service impeccable and the food perfectly prepared and executed.
en-unannotated-00233	Very kind door man gave my family full explanation on how to get the airport, what terminal we do need, how much we should pay!
en-unannotated-00234	It's lively and noisy and just a great place to hang out.
en-unannotated-00235	Breakfast is excellent with a lovely range of hot and cold food.
en-unannotated-00236	We made sure we made it to Dublin to stay here.
en-unannotated-00237	Holiday Inn or Crowne Plaza hotels are far better values in you want IHG
en-unannotated-00238	If you just want to relax and read a book you should visit monday through thursday because it gets quite packed and noisy when the weekend comes.
en-unannotated-00239	So much fun aura.
en-unannotated-00240	I ordered the prawns.
en-unannotated-00241	I was a bit hesitant to book this hotel being it's a Best Western.
en-unannotated-00242	Don't be surprised if you're seated to and share a table with someone else.
en-unannotated-00243	I know they get busy but they need to keep this in mind and potentially employ more chefs.
en-unannotated-00244	Aesthetics aside, Blackbird delivers in all aspects of quality of food, exceptional service & value for money.
en-unannotated-00245	Yum!
en-unannotated-00246	It's definitely not the easiest place to find so make sure you have good directions before you go.
en-unannotated-00247	We had a late lunch there (rare in France as restaurants close at 2pm) - a burger and a salad - both were great!
en-unannotated-00248	Had spotify for quite a few years, shortly after they started up to be exact.
en-unannotated-00249	Some combinations can be a little schloppy (because lets face it, they don't skimp on ingredients), but when its 10pm and that grilled beef smell hits my nostrils, looking pretty while I eat is the least of my worries.
en-unannotated-00250	when our meal was finished they brought us a bottle of house made Limoncello, again complimenti.
en-unannotated-00251	Food quality is pretty good....
en-unannotated-00252	Best available in this town!
en-unannotated-00253	It's so light and delicious!
en-unannotated-00254	The food is great.
en-unannotated-00255	Spotlessly clean, well decorated and comfortable room.
en-unannotated-00256	Particularly the Gina Rinehart lemon curd cocktail, which was essentially a lemon tart squeezed into an oh so delicious cocktail.
en-unannotated-00257	Appetizer plus entree plus a beer (don't remember which one) cost around $13-14. Love these Czech prices.
en-unannotated-00258	I went for the Pork Knee roasted on beer with horseradish and mustard.
en-unannotated-00259	I was not sure what to expect when I booked this event.
en-unannotated-00260	We sat on bar stools at the counter and had coffee, fresh orange juice and toast with tomato, avocado, ham.
en-unannotated-00261	Sadly, I was too full for any sort of dessert.
en-unannotated-00262	Great stay.
en-unannotated-00263	Dinner took approximately three hours and we were served 8 different plates.
en-unannotated-00264	It was a pretty spacious space, but only eating at the bar standing.
en-unannotated-00265	The bread is rye unless you, like my wife, hate rye and specifically ask them to bake you a roll (thanks kitchen staff ^.^).
en-unannotated-00266	The place is at the downtown of Mexico City, is great for having breakfast, lunch and dinner.
en-unannotated-00267	Cheap food and beer.
en-unannotated-00268	Let's just leave it at that- give it a try, you won't regret it.
en-unannotated-00269	Hope to go back soon!
en-unannotated-00270	On a recommendation, I gave the Korean beef burger a run, and it blew me away.
en-unannotated-00271	We both had brioche buns (you can choose ciabatta of you prefer), and they were perfectly toasted to accompany the taste.
en-unannotated-00272	Was very crowdy yesterday for lunch ☺.
en-unannotated-00273	I had my first FRENCH Onion Soup and it was superb, the Beef medallions were great the presentation fitting for a top rated restaurant.
en-unannotated-00274	Definitely my recommendation if you want to try Czech food.
en-unannotated-00275	Nice ambience and quick serving.
en-unannotated-00276	Personally, I ordered the steak and it was cooked to perfection.
en-unannotated-00277	Definitely better than going to a regular restaurant because of the social contact with chef and staff and the other guests.
en-unannotated-00278	Great location and location Good food.
en-unannotated-00279	My new restaurant crush for this rentrée 2015!
en-unannotated-00280	The food was just about average, The price is for the interiors and they are as if from the Czar's Palace.
en-unannotated-00281	I was barely halfway done with my beer when she came back to us and told us there was a table available.
en-unannotated-00282	Soon after our order was taken we were given a basket of breads and truffle mushroom butter.
en-unannotated-00283	Located directly at the beach of a nice bay they serve delicious fresh seafood and good Corsican wines.
en-unannotated-00284	Not only was the food amazing, but so was the service and the ambience.
en-unannotated-00285	Finally we found an amazing local restaurant.
en-unannotated-00286	If you are looking for quality fresh food you will not be disappointed.
en-unannotated-00287	Inside a big mall, the restaurant is large, popular, and decorated in Soviet style.
en-unannotated-00288	It is located NOT in the Old Town but close enough to the main drag of town.
en-unannotated-00289	He gave us chocolate and coffee to take back on our flight home!
en-unannotated-00290	The food was amazing - between us we has the pork, the fish, and the lamb ribs - each dish better then the other.
en-unannotated-00291	They could not do enough for us and fell over themselves being friendly and accommodating.
en-unannotated-00292	I just want to play the freaking game already!
en-unannotated-00293	Come when you have the time to enjoy the evening and a tasting menu that will transport you cleverly on a trip around the world.
en-unannotated-00294	Carne muy rica, pero el servicio medio lento.
en-unannotated-00295	I had a tomato, mozzarella and pistachio pesto ...
en-unannotated-00296	Good location.
en-unannotated-00297	The service was flawless and a special note to the sommelier who provided great wine pairings throughout the meal.
en-unannotated-00298	however the customer service is weak and they just do not pay enough attention to detail regarding amenities
en-unannotated-00299	Lovely friendly staff, hotel character is amazing, although a little tired, it was a beautiful grandiose hotel.
en-unannotated-00300	it is a very small intimate dining experience with just the chef and his assistant doing everything to make...
en-unannotated-00301	basically cooked perfectly!
en-unannotated-00302	excellent staff especially the front desk gentleman Friday afternoon 5-19-17 who had to deal with some rude people due to late check in issues.
en-unannotated-00303	Absolutely amazing pizza!
en-unannotated-00304	The prosciutto toastie kind of let me down a little and just tasted like a normal sandwich with pickled onions.
en-unannotated-00305	The location was smack in the middle of where we wanted to be.
en-unannotated-00306	The stew was really rich in flavor and worked really well with the mash potatoes.
en-unannotated-00307	Perfect location.
en-unannotated-00308	its the only way to eat a steak here.
en-unannotated-00309	The beef goulash is pretty standard and decent food.
en-unannotated-00310	Oddly, some of the mains come in a medium or large size, I ordered large being quite hungry and not really knowing the difference or why the choice existed.
en-unannotated-00311	:-) Definitely better than other fidget spinner apps.
en-unannotated-00312	Very helpful staff especially the consierge.
en-unannotated-00313	Service was friendly and efficient.
en-unannotated-00314	I ordered the sweet pancakes with strawberry, mint and mascarpone which was 135 czk.
en-unannotated-00315	The food is out of this world.
en-unannotated-00316	They make you feel so welcome and its not...
en-unannotated-00317	Good classic but good.
en-unannotated-00318	Shower was difficult to manoveur shower heads
en-unannotated-00319	Service is quick, ambiance is elegant, and hot chocolate is the best.
en-unannotated-00320	Delicious and fresh.
en-unannotated-00321	Definitely worth a stop.
en-unannotated-00322	otherwise all is okei..
en-unannotated-00323	The bathrooms in the rooms were nicely remodeled and modern, but it is an older property that needs refurbishment.
en-unannotated-00324	Your friendly Irish girl who allowed us generous samples of the light beers (Guinness had us quite full from the factory tour). Unique theme and clean.
en-unannotated-00325	Food of high quality, service a bit slow hence no 5 stars from me.
en-unannotated-00326	this time i ordered some different dished - sole and lamb.
en-unannotated-00327	We are each year in Milan during fashion week and Mifur.
en-unannotated-00328	it will not replay  or work then you will get a message saying something went wrong..
en-unannotated-00329	We sat down right away and got to ordering:
en-unannotated-00330	After the new update, my league shows I've won over 100k but on my friends list it shows 400 coins?
en-unannotated-00331	great location..
en-unannotated-00332	From a food point of view, this was the highlight of our trip to Paris and next time we come back to this city, this is a MUST on our To-Do-List!
en-unannotated-00333	Really, that was the wrong reason and the quality was top rate.
en-unannotated-00334	There may be a line outside but isnt that true of all great local places.
en-unannotated-00335	The food was so good that we immediately ordered for dinner!!
en-unannotated-00336	When our meals came, we quickly dug in.
en-unannotated-00337	Excellent location, right in the centre of Rome.
en-unannotated-00338	Words can not describe the experience we had at this place, food is AMAZING service and staff are super nice.
en-unannotated-00339	hello mysterious alley way!
en-unannotated-00340	If you're not used to street noises at night the appartment does not have double glazed Windows so we found it quite noisy when trying to sleep.
en-unannotated-00341	The game is awesome.
en-unannotated-00342	Interestingly, the potato side was cooked in a clay pot which was broken up and displayed on the plate.
en-unannotated-00343	Super friendly staff and owner.
en-unannotated-00344	All the personal was very attentive and polite.
en-unannotated-00345	Never received wake up call.
en-unannotated-00346	Found this little shop - clean, bare bones, fast food setting.
en-unannotated-00347	The only message they responded to was my request to pay before we arrived.
en-unannotated-00348	a must!
en-unannotated-00349	A fitting end to a great meal and dining experience.
en-unannotated-00350	You don't appreciate the difference a window makes until you find yourself in a hotel room without one !
en-unannotated-00351	The front desk personnel were extremely helpful in assisting us in navigating the city via bus and subway.
en-unannotated-00352	Arriving at Las Alcobas you know that it's going to be nice.
en-unannotated-00353	Highly recommended.
en-unannotated-00354	And also a shout out to Lani P for shining the Bat Signal on this spot for me.
en-unannotated-00355	It is very casual and simple but the staff treat you very well.
en-unannotated-00356	We received a delicious egg frittata type dish, which I thought would be complimentary, like bread in restaurants.
en-unannotated-00357	Great app works well no issues so far!
en-unannotated-00358	Soon after opening, I went to check it out with a few friends when we were looking for a dinner spot but being a Friday evening we were told apologetically that it was completely booked out....
en-unannotated-00359	Large windows made a special plus!
en-unannotated-00360	From the food to the service and decor Absolutely magnifico.
en-unannotated-00361	We ordered their beer board which was a collection of smoked meats and pickles foods.
en-unannotated-00362	Great food and service.
en-unannotated-00363	And everything was perfect except internal temperature.
en-unannotated-00364	Location is close to one of the business areas as well as to the best restaurants.
en-unannotated-00365	Is like a bohemian place with vintage furniture and good music.
en-unannotated-00366	Had a work dinner here and we were in the private dining room around the back.
en-unannotated-00367	We recomend it.
en-unannotated-00368	And let me just say, this place is where to eat.
en-unannotated-00369	For my second meal, I ordered the beer goulash in a bread bowl.
en-unannotated-00370	Beef tartare comes w/ toasted bread slices and a garlic clove to rub onto the bread with.
en-unannotated-00371	Very good location and reasonable priced.
en-unannotated-00372	The breakfast was bad and the food dose not fit for a five star Hotel.
en-unannotated-00373	Turning Guest mode off still allows anyone on the network with an Android device to control the Chromecast (everyone that has access to my wifi shouldn't automatically have access to control my device). It would be nice to eventually be able to connect USB storage devices directly up to the Chromecast.
en-unannotated-00374	Very good steaks of great quality.
en-unannotated-00375	Enjoyed meeting people from different countries.
en-unannotated-00376	My dining companion had the chicken and leek boxty.
en-unannotated-00377	But the staff were very helpful and friendly.
en-unannotated-00378	We had the cheese and meat plate and ceased salad.
en-unannotated-00379	* Eat the complimentary bread!
en-unannotated-00380	In financial district within a nice area with foid options, but 30 mn from center town
en-unannotated-00381	The waiter was so awesome and helpful.
en-unannotated-00382	The cocktails were well balanced (strong but didn't taste strong?!) and fun (the drinks we ordered had honeycomb and lemon curd!)
en-unannotated-00383	Once when we were famished and hoping for a good meal, and another time when we missed the spoonfuls of goodness that we had just devoured.
en-unannotated-00384	Let me preface this by stating that I am a huge fan of the Room Mate Hotel chain.
en-unannotated-00385	A friend of mine booked the Champagne room, one of the private rooms.
en-unannotated-00386	La Provence de Andrei did not disappoint!!!
en-unannotated-00387	It was a pleasure to share some time with them and enjoy their exquisite culinary skills.
en-unannotated-00388	drinks menu was great just the food although nice as you'll read from all the other posts here, not really my cup of tea so do speak...
en-unannotated-00389	The food!
en-unannotated-00390	Ordered a Beef Tartare and two mixed meat sausages.
en-unannotated-00391	Excellent restaurant easy accessible from the harbour.
en-unannotated-00392	Best restaurant especially if you have a few hours transferring trains as this place is a 3 min walk from Milano Central Station.
en-unannotated-00393	If u guys add more featurs in it,  like sound and also vibration and screen rotation feature it would be nyc
en-unannotated-00394	I was very happy with my visit.
en-unannotated-00395	Amazing food, casual atmosphere, great location.
en-unannotated-00396	This needs fixing then I'd give a 5 star rating.
en-unannotated-00397	I can't wait to take my husband back there later for more!!
en-unannotated-00398	There was only one waitress to manage all the tables plus...
en-unannotated-00399	This one will be placed on our group's top choices for traveling abroad!
en-unannotated-00400	It's...
en-unannotated-00401	Was good when it first came about.
en-unannotated-00402	Very close to many businesses and restaurant.
en-unannotated-00403	Room was very clean and adequate for a business trip.
en-unannotated-00404	Although it was a bit of an inconvenience to get to......
en-unannotated-00405	This was an unsurpassed dining experience that repeatedly touched upon perfection.
en-unannotated-00406	Great location, the staff was ok only one receptionist was friendly the others was not so , fairly clean,  bed was comfort .
en-unannotated-00407	Some of the best staff I have dealt with.
en-unannotated-00408	Very affordable as well.
en-unannotated-00409	Great seafood and pastas!
en-unannotated-00410	There aren't many tables, so I can see where a reservation is strongly recommended.
en-unannotated-00411	Beautiful century-old hotel, charmingly old-fashioned.
en-unannotated-00412	For an appetizer, I shared the egg foie gras coquette, it was absolutely divine.
en-unannotated-00413	The soup was combined with melted cheese and bread.
en-unannotated-00414	wonderful service and food.
